cl_node_id;lat;lon;zip_code
44739;34.06602091;-118.20762726;90031
44750;34.06375517;-118.19269224;90032
44762;34.27028179;-118.60037063;91311
47064;34.08029229;-118.33849551;90004
47094;34.07233228;-118.38972418;90048
47132;34.04944255;-118.34170887;90019
41332;34.24360689;-118.55272545;91324
41348;34.23722768;-118.58545778;91311
41350;34.23545135;-118.59977493;91311
41360;34.23303758;-118.59230166;91304
41364;34.2354619;-118.57978988;91311
41368;34.23184327;-118.5722783;91306
41379;34.23152264;-118.57747107;91306
43208;34.21659527;-118.48367537;91406
43212;34.24142247;-118.47385481;91343
43235;34.10195273;-118.3333301;90028
43261;34.07210061;-118.56079597;90272
43265;34.07239509;-118.56240515;90272
44791;33.96242667;-118.29156459;90044
44801;33.96002533;-118.29187921;90044
44814;33.94913113;-118.29161752;90044
44836;33.92773361;-118.29196857;90044
44838;33.92505822;-118.29150298;90044
44845;33.91755441;-118.2916024;90044
44863;33.89688707;-118.29145147;90247
47170;34.05846266;-118.36368547;90048
47233;34.06230169;-118.34509962;90036
47238;34.06225451;-118.34826957;90036
41398;34.2291505;-118.57104747;91306
41399;34.22912082;-118.58415379;91306
41400;34.22909352;-118.58117764;91306
41407;34.22819401;-118.59699581;91304
41422;34.23910254;-118.57979487;91311
41432;34.25139343;-118.59509918;91311
41437;34.2587919;-118.56784769;91311
41458;34.25687091;-118.55577633;91324
41466;34.25420783;-118.60284716;91311
41468;34.25949463;-118.59545676;91311
43284;33.99089086;-118.47642466;90291
43324;34.0945714;-118.46328058;90077
43347;34.08450798;-118.44765014;90077
43373;34.08936292;-118.44182608;90077
44893;33.81703828;-118.30892385;90501
44909;33.80718285;-118.3075835;90710
44949;33.94739278;-118.27892642;90003
44955;34.0119683;-118.27835949;90037
44961;34.01813203;-118.29011624;90037
47261;34.04598445;-118.39521164;90034
47271;34.02840961;-118.4431751;90064
47296;34.13922309;-118.2073707;90041
47325;34.11287788;-118.24817647;90039
47326;34.11452874;-118.24635363;0
47344;34.11292436;-118.26596086;90039
47348;34.11315979;-118.28861906;90027
41485;34.26004557;-118.58063358;91311
41486;34.2594248;-118.55124637;91326
41487;34.25878684;-118.55134259;91326
41489;34.24852968;-118.55138954;91324
41498;34.24704518;-118.55224138;91324
41503;34.24547321;-118.55196649;91324
41511;34.23650981;-118.55224682;91324
41512;34.22665557;-118.58117516;91306
41520;34.22625561;-118.5633937;91306
41563;34.22727058;-118.57847302;91306
43399;34.03354428;-118.51069925;90402
43406;34.03842379;-118.5158772;90402
43407;34.04023227;-118.51449629;90402
43415;34.03209629;-118.51748903;90402
43428;34.11368667;-118.23530878;90065
43439;34.09851689;-118.18871101;90042
43441;34.12500684;-118.23171078;90065
43456;34.1463905;-118.19621777;90041
44966;34.01836995;-118.29770417;90007
44989;34.01278789;-118.20691759;90023
45003;34.02554033;-118.2882164;90007
45024;33.98098209;-118.29174736;90044
45048;33.97635727;-118.29154858;90044
47356;34.11549195;-118.2900904;90027
47372;34.12692953;-118.26186184;0
47400;34.14927756;-118.37020018;91602
47401;34.14806782;-118.37019791;91602
47446;34.15451455;-118.36835093;91602
41585;34.29307328;-118.55095885;91326
41609;34.25746949;-118.39053971;91352
41635;34.06092199;-118.2326498;90012
41637;34.32657871;-118.43132753;91342
41638;34.32661409;-118.43044523;91342
41648;34.25968227;-118.61362843;91311
41659;34.25986328;-118.3463718;91040
43471;34.03703841;-118.41932821;90064
43475;34.063573;-118.50374537;90272
43515;34.11878724;-118.42562526;90210
43529;34.11323644;-118.39089455;90046
43554;34.11580612;-118.37469409;90046
45076;33.97024374;-118.29174506;90044
45103;34.00063207;-118.29636365;90037
45141;33.9908673;-118.33102145;90043
47458;34.15764605;-118.37062007;91602
47482;34.17940066;-118.42479716;91401
47510;34.14872269;-118.49432817;91436
50047;33.93377072;-118.37747349;90045
50061;34.22799429;-118.64732066;91304
41683;34.12947615;-118.35391964;90068
41687;34.12599516;-118.34327966;90068
41691;34.09591597;-118.25442842;90039
41695;34.09365919;-118.43603686;90077
52869;34.19517424;-118.53474598;91335
41752;34.04824502;-118.55012086;90272
43589;34.15814593;-118.61883448;91364
43610;34.14945899;-118.59921096;91364
43625;34.14866504;-118.58835972;91364
43630;34.1325055;-118.38983555;91604
43633;34.15607947;-118.60443301;91364
43642;34.12360673;-118.3404036;90068
43657;34.14116354;-118.47860366;91436
45158;34.00597659;-118.33046638;90008
45174;34.00767337;-118.3267385;90008
45252;33.97216291;-118.4610956;90292
50088;34.13299465;-118.31351621;0
50090;34.21345439;-118.57330832;91306
50111;33.97825881;-118.4132331;0
50116;33.71335201;-118.28743795;90731
50130;33.72351093;-118.33170525;90732
41765;33.99420601;-118.44533769;90291
41769;33.99116296;-118.46101508;90291
41776;33.99107878;-118.46921462;90291
41788;33.96994931;-118.45803545;90292
41818;33.96824513;-118.45533028;90292
41840;33.94698297;-118.30679701;90047
41845;33.94193957;-118.27387208;90003
41849;34.10850448;-118.30030396;90027
43705;34.25617377;-118.26724839;91042
43714;34.13654367;-118.40011731;91604
43731;34.28445023;-118.52362691;91344
43734;34.27395575;-118.3031784;91042
43747;34.24860888;-118.56131229;91324
43751;34.10691154;-118.3415995;90068
45258;33.96887993;-118.4586245;90292
45298;33.9552963;-118.4487588;90293
45316;33.97477033;-118.42431668;90066
52602;34.15576619;-118.56539083;91364
52605;34.15970338;-118.51966312;91316
52621;34.16398452;-118.48455631;91436
52654;34.16999109;-118.36264058;91601
54398;34.29423881;-118.44904831;91342
54414;34.2789492;-118.56966196;91326
54443;34.27435611;-118.61391698;91311
54456;34.26462616;-118.36517523;91040
54463;34.26255207;-118.31257337;91040
49138;34.14050946;-118.4303478;91423
49159;34.25124036;-118.33987981;91040
49161;34.22553063;-118.65197368;91304
49175;34.19420303;-118.62159052;91307
49182;33.75117113;-118.27749117;90731
49204;34.26256021;-118.56659787;91311
49208;34.207159;-118.55929128;91335
50986;34.06414882;-118.22625763;90031
50988;34.06421687;-118.21680344;90031
50990;34.06575613;-118.20759979;90031
51005;34.06925036;-118.35738241;90036
51008;34.07002861;-118.35738546;90036
52749;34.18168615;-118.41524682;91401
52756;34.18064166;-118.52728677;91335
52765;34.18315295;-118.52968837;91335
52792;34.18572457;-118.53051777;91335
52799;34.18483023;-118.56187121;91335
54478;34.21157996;-118.5627587;91306
54481;34.20685632;-118.66020152;91307
54500;34.09582811;-118.18795585;90032
54519;34.2212904;-118.58977717;91304
54538;34.28014881;-118.57585976;91326
54543;34.28089238;-118.57148404;91326
49231;34.06492702;-118.23805799;90012
49282;34.02068281;-118.20950988;90023
49288;34.08471295;-118.20313012;90031
49297;34.09543832;-118.18731136;90032
